CHR1	POS1
39	54
40	47
61	93
69	100
72	53
82	107
86	72
90	55
128	52
134	129
149	43
168	67
185	14
192	132
199	101
235	103
260	14
352	6
371	76
372	43
379	132
385	141
392	31
443	55
454	49
479	51
480	36
484	97
495	59
497	69
534	23
559	85
565	129
567	107
570	64
596	42
605	43
630	59
633	19
645	6
659	22
674	9
675	14
679	43
692	8
704	103
718	113
733	35
736	85
739	102
741	124
754	16
770	48
776	9
792	115
825	146
856	116
867	41
873	15
878	33
903	89
906	17
914	26
917	6
918	34
923	32
939	66
940	18
953	26
972	27
995	135
1021	50
1080	124
1108	113
1109	42
1123	69
1128	35
1199	87
1262	25
1281	10
1282	65
1285	69
1288	18
1301	48
1351	93
1362	54
1386	6
1444	19
1445	134
1547	16
1583	8
1631	63
1642	32
1656	64
1665	95
1678	82
1691	53
1695	110
1725	8
1729	32
1749	60
1772	86
1827	17
1882	135
1951	23
1988	116
1995	131
1996	31
1998	47
1999	8
2007	32
2016	7
2049	12
2071	30
2078	25
2108	83
2147	30
2172	72
2187	26
2219	109
2226	40
2248	39
2272	15
2284	41
2327	18
2333	95
2337	12
2355	17
2365	59
2387	47
2389	62
2391	30
2412	20
2484	9
2488	135
2509	61
2533	43
2626	112
2647	36
2660	37
2671	10
2680	35
2711	56
2739	45
2780	45
2791	17
2792	16
2802	35
2825	50
2837	65
2838	101
2882	83
2968	91
2977	18
2985	57
3013	25
3015	11
3048	30
3109	83
3115	15
3144	73
3165	71
3201	21
3242	139
3245	17
3269	63
3285	63
3289	23
3299	48
3313	23
3317	16
3344	116
3364	11
3409	77
3414	25
3419	96
3464	82
3513	73
3532	59
3576	93
3588	78
3610	78
3635	133
3636	87
3667	93
3766	109
3774	118
3797	30
3799	127
3813	112
3824	61
3830	101
3837	102
3844	102
3858	17
3863	92
3894	108
3895	23
3924	8
3925	40
3945	82
3952	50
3956	52
3974	7
3978	60
3984	136
3991	16
4013	16
4027	123
4041	41
4044	83
4065	68
4077	87
4085	26
4113	97
4122	90
4142	22
4154	50
4175	27
4216	72
4218	118
4242	77
4256	51
4271	23
4280	17
4296	45
4305	83
4327	18
4332	142
4336	33
4355	41
4375	61
4377	109
4388	88
4397	25
4407	12
4414	106
4440	134
4445	11
4453	14
4457	107
4463	29
4561	48
4616	37
4632	140
4642	23
4659	41
4669	59
4676	62
4761	45
4776	123
4780	131
4804	73
4807	111
4808	96
4810	40
4811	29
4821	13
4849	99
4867	14
4914	86
4948	115
4950	123
4963	59
4965	15
5046	36
5064	9
5071	31
5098	13
5106	10
5128	17
5186	66
5198	83
5206	10
5231	14
5241	45
5247	53
5267	26
5279	39
5298	131
5301	46
5323	41
5380	30
5445	111
5450	120
5463	95
5465	13
5469	125
5486	41
5498	39
5512	28
5534	16
5546	14
5550	19
5556	52
5613	113
5677	75
5678	59
5707	43
5709	11
5785	50
5799	93
5918	11
5933	37
5937	16
6026	36
6037	68
6093	45
6105	38
6121	35
6123	69
6131	66
6142	129
6206	59
6230	44
6237	77
6242	54
6259	48
6296	53
6322	46
6340	56
6353	106
6392	95
6410	51
6412	18
6438	121
6440	21
6463	59
6473	139
6479	51
6487	31
6505	139
6522	100
6525	50
6565	93
6614	54
6622	55
6745	40
6796	100
6850	23
6856	86
6939	40
6947	22
7200	110
7208	62
7222	38
7229	46
7239	24
7259	97
7285	83
7287	17
7293	90
7333	66
7341	16
7348	124
7390	9
7397	12
7423	113
7430	82
7431	9
7514	128
7539	129
7579	90
7587	27
7589	18
7612	84
7620	89
7623	14
7683	14
7695	33
7697	15
7723	62
7732	5
7766	101
7770	9
7806	135
7882	18
7884	85
7892	17
7893	54
7899	28
7915	122
8011	14
8021	88
8026	34
8078	105
8085	55
8120	14
8138	53
8187	53
8199	37
8209	6
8218	97
8235	23
8252	53
8259	134
8268	24
8273	113
8275	7
8277	127
8278	81
8297	38
8313	58
8352	21
8419	104
8456	64
8462	114
8523	45
8556	12
8560	110
8564	22
8567	11
8598	91
8626	18
8629	37
8632	104
8658	52
8673	104
8701	8
8717	13
8791	17
8809	6
8837	49
8861	55
8874	17
8883	83
8930	47
8934	6
8948	45
8995	27
9029	30
9077	107
9108	50
9122	8
9128	27
9189	28
9211	19
9268	27
9360	58
9382	21
9417	84
9432	25
9466	48
9510	9
9523	56
9564	61
9603	14
9611	9
9626	18
9676	12
9679	112
9692	61
9722	9
9726	10
9781	90
9810	126
9815	43
9940	18
9941	46
9961	34
9986	81
10009	47
10063	91
10077	26
10092	57
10098	11
10101	14
10121	34
10155	27
10194	119
10205	109
10217	6
10228	39
10273	34
10293	19
10296	126
10299	28
10318	99
10330	35
10336	9
10341	40
10353	11
10375	20
10416	8
10430	112
10451	38
10457	14
10461	37
10468	13
10518	30
10571	102
10609	28
10622	6
10630	44
10699	14
10737	40
10779	48
10809	59
10864	22
10877	81
10911	8
10921	52
10944	96
10966	15
10972	78
11099	17
11231	46
11281	31
11304	38
11404	109
11408	114
11428	18
11433	89
11496	37
11498	65
11544	134
11546	98
11563	64
11597	25
11625	73
11724	9
11727	31
11822	78
11852	23
11871	31
11892	105
11896	48
11901	47
11910	35
11933	99
11965	14
11970	90
11981	32
12076	18
12162	51
12180	71
12240	102
12260	59
12261	56
12281	37
12290	19
12291	38
12305	47
12309	47
12385	19
12441	8
12479	55
12588	57
12705	11
12736	45
12835	12
12996	7
12998	43
13091	55
13111	56
13129	77
13322	12
13454	27
13467	81
13781	9
13866	88
13869	142
14067	54
14154	8
14291	101
14852	39
16210	23
24370	10
28553	27
65241	27
87676	115
88380	54
98542	46
123853	38
150308	117
151199	108
151353	46
151386	21
152377	42
152399	94
154954	23
156017	11
169710	9
169776	8
169835	46
175445	53
176870	111
177673	6
190904	27
224080	65
224343	30
229565	66
229750	10
233144	50
233254	54
233582	26
243852	64
245699	6
246129	15
247072	68
259514	137
289420	94
300770	33
315721	78
315931	40
